host_name,count,percentage
Sabrina,2,0.025249337204898373
Jayleen,2,0.025249337204898373
Kk,4,0.050498674409796745
Kyle,3,0.03787400580734756
Yuki,3,0.03787400580734756
Transient Room,3,0.03787400580734756
Alex,105,1.3255902032571645
Dominic,2,0.025249337204898373
Anna,27,0.34086605226612804
Cindy,12,0.15149602322939024
Chao,2,0.025249337204898373
WeiIn,8,0.10099734881959349
Arthur,2,0.025249337204898373
Attari,2,0.025249337204898373
Pat,26,0.32824138366367883
容,2,0.025249337204898373
Zack,10,0.12624668602449185
Li,7,0.0883726802171443
Gagan,2,0.025249337204898373
Jerry,5,0.06312334301224592
Fang Ren,12,0.15149602322939024
Amber And Daniel,2,0.025249337204898373
Simon,19,0.23986870344653452
Lim,7,0.0883726802171443
Sally,3,0.03787400580734756
Anna / Chee Kiang,4,0.050498674409796745
Jamila,2,0.025249337204898373
Marcus,3,0.03787400580734756
D,2,0.025249337204898373
Wankeun,3,0.03787400580734756
Tricia,3,0.03787400580734756
Chun,2,0.025249337204898373
Amir,2,0.025249337204898373
Sunny,24,0.3029920464587805
Derrick,6,0.07574801161469512
Tan,3,0.03787400580734756
Dear,2,0.025249337204898373
菓,4,0.050498674409796745
Shean,3,0.03787400580734756
Ann,7,0.0883726802171443
Peng,2,0.025249337204898373
Raymond,5,0.06312334301224592
Fair,2,0.025249337204898373
Agnes,2,0.025249337204898373
Nigel,3,0.03787400580734756
Mily,2,0.025249337204898373
Wen,2,0.025249337204898373
Lady,2,0.025249337204898373
Marcelo,67,0.8458527963640955
Catherine,30,0.37874005807347555
Marty,2,0.025249337204898373
Zehwee,2,0.025249337204898373
Charles,2,0.025249337204898373
The Pod,8,0.10099734881959349
E C,14,0.1767453604342886
Sora,4,0.050498674409796745
Your Home Away From Home,4,0.050498674409796745
Irene,5,0.06312334301224592
Royce,2,0.025249337204898373
That Green Corner,8,0.10099734881959349
Cal,9,0.11362201742204267
Ana,2,0.025249337204898373
Neil,2,0.025249337204898373
Mairéad,2,0.025249337204898373
Devesh,2,0.025249337204898373
Stteven,3,0.03787400580734756
Daphne,2,0.025249337204898373
Dj,3,0.03787400580734756
Eileen,2,0.025249337204898373
Siti Noordin,3,0.03787400580734756
Jerome & Jane,2,0.025249337204898373
Xinnie,2,0.025249337204898373
Ashley,4,0.050498674409796745
Pan Pacific Serviced Suites,3,0.03787400580734756
Cynthia,5,0.06312334301224592
Syed,3,0.03787400580734756
Kuldeep,2,0.025249337204898373
Krish,2,0.025249337204898373
Cecy,3,0.03787400580734756
Jenny,17,0.21461936624163616
Bob,16,0.20199469763918698
Sean,6,0.07574801161469512
WorldQ,2,0.025249337204898373
J,20,0.2524933720489837
Lin,2,0.025249337204898373
Nikki,2,0.025249337204898373
Lina,5,0.06312334301224592
Ailyn,6,0.07574801161469512
Ming Yang,2,0.025249337204898373
Felix,4,0.050498674409796745
Jj,5,0.06312334301224592
Jun,3,0.03787400580734756
Anne,2,0.025249337204898373
Oakwood Studios,6,0.07574801161469512
Donald,15,0.18937002903673777
Uncharted Homes,13,0.16412069183183942
Tribe Theory,4,0.050498674409796745
Yuan,5,0.06312334301224592
Alan,10,0.12624668602449185
Priscilla,3,0.03787400580734756
Mark,6,0.07574801161469512
RedDoorz,109,1.3760888776669613
Pinggi,3,0.03787400580734756
River City Inn,43,0.542860749905315
Jhian,45,0.5681100871102134
Assemblage,8,0.10099734881959349
Nicholas,5,0.06312334301224592
Jean,6,0.07574801161469512
Sophie,17,0.21461936624163616
Willy,2,0.025249337204898373
ｼﾝ,9,0.11362201742204267
John,15,0.18937002903673777
Aravind,2,0.025249337204898373
Leonard,2,0.025249337204898373
Quek,9,0.11362201742204267
Ada,32,0.40398939527837396
Rainer,2,0.025249337204898373
Goh,5,0.06312334301224592
Gusti,5,0.06312334301224592
Neeta,2,0.025249337204898373
Tuan,2,0.025249337204898373
Joyce,23,0.29036737785633127
DropINN,11,0.13887135462694103
Tim,8,0.10099734881959349
Yusheng,2,0.025249337204898373
Kai,2,0.025249337204898373
Zen,2,0.025249337204898373
Z,7,0.0883726802171443
